case_id, activity, enable_time, start_time, end_time, resource
56,Sequence A,2023-11-02 17:15:31.681789+00:00,2023-11-02 18:29:32.572794+00:00,2023-11-02 18:39:21.923252+00:00,Default resource profile 1_4
57,Sequence A,2023-11-02 17:16:05.251884+00:00,2023-11-02 18:30:11.171316+00:00,2023-11-02 18:36:15.870095+00:00,Default resource profile 1_3
58,Sequence A,2023-11-02 17:16:59.998494+00:00,2023-11-02 18:30:16.197541+00:00,2023-11-02 18:38:53.046276+00:00,Default resource profile 1_2
59,Sequence A,2023-11-02 17:18:05.553382+00:00,2023-11-02 18:36:15.870095+00:00,2023-11-02 18:44:58.986274+00:00,Default resource profile 1_3
4,Sequence C,2023-11-02 17:18:32.327970+00:00,2023-11-02 18:38:53.046276+00:00,2023-11-02 18:52:44.217279+00:00,Default resource profile 1_2
60,Sequence A,2023-11-02 17:19:20.151154+00:00,2023-11-02 18:39:21.923252+00:00,2023-11-02 18:52:45.114084+00:00,Default resource profile 1_4
61,Sequence A,2023-11-02 17:20:29.751059+00:00,2023-11-02 18:43:32.700408+00:00,2023-11-02 18:58:45.011785+00:00,Default resource profile 1_1
62,Sequence A,2023-11-02 17:21:32.729891+00:00,2023-11-02 18:44:58.986274+00:00,2023-11-02 19:03:22.717973+00:00,Default resource profile 1_3
63,Sequence A,2023-11-02 17:22:46.741681+00:00,2023-11-02 18:52:44.217279+00:00,2023-11-02 18:55:19.978977+00:00,Default resource profile 1_2
1,Sequence C,2023-11-02 17:23:32.903042+00:00,2023-11-02 18:52:45.114084+00:00,2023-11-02 18:57:06.955196+00:00,Default resource profile 1_4
64,Sequence A,2023-11-02 17:23:41.257563+00:00,2023-11-02 18:54:43.046621+00:00,2023-11-02 19:03:34.767768+00:00,Default resource profile 1_0
65,Sequence A,2023-11-02 17:24:50.109589+00:00,2023-11-02 18:55:19.978977+00:00,2023-11-02 19:01:48.183643+00:00,Default resource profile 1_2
66,Sequence A,2023-11-02 17:26:00.375861+00:00,2023-11-02 18:57:06.955196+00:00,2023-11-02 19:06:58.010154+00:00,Default resource profile 1_4
67,Sequence A,2023-11-02 17:26:45.843406+00:00,2023-11-02 18:58:45.011785+00:00,2023-11-02 19:01:18.641884+00:00,Default resource profile 1_1
20,Sequence B,2023-11-02 17:08:52.647842+00:00,2023-11-02 19:01:18.641884+00:00,2023-11-02 19:06:15.483723+00:00,Default resource profile 1_1
22,Sequence B,2023-11-02 17:09:37.047017+00:00,2023-11-02 19:06:15.483723+00:00,2023-11-02 19:11:58.327123+00:00,Default resource profile 1_1
26,Sequence B,2023-11-02 17:13:12.300666+00:00,2023-11-02 19:11:58.327123+00:00,2023-11-02 19:17:05.841504+00:00,Default resource profile 1_1
21,Sequence B,2023-11-02 17:13:35.644417+00:00,2023-11-02 19:17:05.841504+00:00,2023-11-02 19:21:05.885732+00:00,Default resource profile 1_1
24,Sequence B,2023-11-02 17:15:38.278075+00:00,2023-11-02 19:21:05.885732+00:00,2023-11-02 19:25:42.738777+00:00,Default resource profile 1_1
23,Sequence B,2023-11-02 17:15:45.932260+00:00,2023-11-02 19:25:42.738777+00:00,2023-11-02 19:31:24.414105+00:00,Default resource profile 1_1
27,Sequence B,2023-11-02 17:17:31.528869+00:00,2023-11-02 19:31:24.414105+00:00,2023-11-02 19:36:42.540274+00:00,Default resource profile 1_1
25,Sequence B,2023-11-02 17:17:44.076029+00:00,2023-11-02 19:36:42.540274+00:00,2023-11-02 19:41:50.400528+00:00,Default resource profile 1_1
29,Sequence B,2023-11-02 17:27:53.628012+00:00,2023-11-02 19:41:50.400528+00:00,2023-11-02 19:47:02.644603+00:00,Default resource profile 1_1
28,Sequence B,2023-11-02 17:31:38.158219+00:00,2023-11-02 19:47:02.644603+00:00,2023-11-02 19:51:28.729518+00:00,Default resource profile 1_1
68,Sequence A,2023-11-02 17:27:57.549177+00:00,2023-11-02 19:01:48.183643+00:00,2023-11-02 19:11:13.648483+00:00,Default resource profile 1_2
5,Sequence C,2023-11-02 17:28:24.350828+00:00,2023-11-02 19:03:22.717973+00:00,2023-11-02 19:19:42.871457+00:00,Default resource profile 1_3
69,Sequence A,2023-11-02 17:28:48.713843+00:00,2023-11-02 19:03:34.767768+00:00,2023-11-02 19:21:59.948894+00:00,Default resource profile 1_0
70,Sequence A,2023-11-02 17:29:58.630414+00:00,2023-11-02 19:06:58.010154+00:00,2023-11-02 19:23:13.283721+00:00,Default resource profile 1_4
71,Sequence A,2023-11-02 17:31:10.617062+00:00,2023-11-02 19:11:13.648483+00:00,2023-11-02 19:14:06.231341+00:00,Default resource profile 1_2
72,Sequence A,2023-11-02 17:32:02.715328+00:00,2023-11-02 19:14:06.231341+00:00,2023-11-02 19:28:49.261812+00:00,Default resource profile 1_2
73,Sequence A,2023-11-02 17:33:00.078822+00:00,2023-11-02 19:19:42.871457+00:00,2023-11-02 19:38:13.963816+00:00,Default resource profile 1_3
3,Sequence C,2023-11-02 17:33:30.198938+00:00,2023-11-02 19:21:59.948894+00:00,2023-11-02 19:47:39.818463+00:00,Default resource profile 1_0
74,Sequence A,2023-11-02 17:33:47.848651+00:00,2023-11-02 19:23:13.283721+00:00,2023-11-02 19:45:59.777267+00:00,Default resource profile 1_4
75,Sequence A,2023-11-02 17:34:40.847673+00:00,2023-11-02 19:28:49.261812+00:00,2023-11-02 19:39:27.229301+00:00,Default resource profile 1_2
